nama,harga,diskon,terjual,kota,url_produk
Samsung Galaxy A07 - 4/64Gb,1319000,0.12,27300,Kota Depok,https://www.lazada.co.id/products/pdp-i6999600579.html
Samsung Galaxy A07 4/64 - Power Pack,1399000,0.0,1600,Kota Depok,https://www.lazada.co.id/products/pdp-i8779674474.html
Samsung Galaxy A56 5g 12/256Gb - [Upgrade from 8/256 Gb] |   Galaxy Ai |   Ai Smartphone |   45W Super Fast Charge,6999000,0.03,1200,Kota Depok,https://www.lazada.co.id/products/pdp-i6381964562.html
Samsung 32 HD he50e TV | HDR | OTS Lite | one UI Tizen | slim design | ua32he50efklxd,2038000,0.36,6700,Kota Depok,https://www.lazada.co.id/products/pdp-i8606914553.html
"Samsung Smart TV 43"" QLED 4K Q7F - Q4 AI Processor - Samsung Knox Security - QA43Q7FAAKXXD",4856000,0.07,0,Kota Depok,https://www.lazada.co.id/products/pdp-i8822886247.html
Samsung Galaxy A16 - 8/128Gb,2359000,0.21,10600,Kota Depok,https://www.lazada.co.id/products/pdp-i7454972987.html
Samsung Galaxy Fit3,798000,0.11,2100,Kota Depok,https://www.lazada.co.id/products/pdp-i7989394790.html
Samsung Galaxy A07 - 4/128Gb,1606000,0.03,4100,Kota Depok,https://www.lazada.co.id/products/pdp-i5484840739.html
Samsung Galaxy A56 5g 8/256Gb - [Upgrade from 8/128 Gb] |   Galaxy Ai |   Ai Smartphone |   45W Super Fast Charge,5579000,0.17,1600,Kota Depok,https://www.lazada.co.id/products/pdp-i6291076779.html
Samsung Galaxy Watch FE,3099000,0.06,43,Kota Depok,https://www.lazada.co.id/products/pdp-i8148436162.html
Samsung Galaxy A26 5G ALL NRM - 8GB/128GB,3399000,0.06,616,Kota Depok,https://www.lazada.co.id/products/pdp-i6827366923.html
Samsung Galaxy A17 8/128Gb - Ai Smartphone |   Android |   5000 Mah,2759000,0.08,1900,Kota Depok,https://www.lazada.co.id/products/pdp-i8724864466.html
Samsung Galaxy A17 8/256Gb - Ai Smartphone |   Android |   5000 Mah,3143100,0.08,949,Kota Depok,https://www.lazada.co.id/products/pdp-i8724842946.html
"Samsung 43"" FHD FE60E TV | HDR | OTS Lite | One UI Tizen | UA43FE60EFKXXD",2956000,0.36,2400,Kota Depok,https://www.lazada.co.id/products/pdp-i8620338244.html
Samsung Galaxy A17 5g - 8/256Gb,3699000,0.0,1200,Kota Depok,https://www.lazada.co.id/products/pdp-i8703954147.html
Samsung Galaxy A26 5G 8/256GB - Galaxy AI | Smartphone AI | Baterai 5000mAh,3799000,0.05,3300,Kota Depok,https://www.lazada.co.id/products/pdp-i8400150765.html
