nama,harga,diskon,terjual,kota,url_produk
Samsung Galaxy A07 - 4/64Gb,Rp1.319.000,12%,27.3K,Kota Depok,https://www.lazada.co.id/products/pdp-i6999600579.html
Samsung Galaxy A07 4/64 - Power Pack,Rp1.399.000,,1.6K,Kota Depok,https://www.lazada.co.id/products/pdp-i8779674474.html
Samsung Galaxy A56 5g 12/256Gb - [Upgrade from 8/256 Gb] |   Galaxy Ai |   Ai Smartphone |   45W Super Fast Charge,Rp6.999.000,3%,1.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i6381964562.html
Samsung 32 HD he50e TV | HDR | OTS Lite | one UI Tizen | slim design | ua32he50efklxd,Rp2.038.000,36%,6.7K,Kota Depok,https://www.lazada.co.id/products/pdp-i8606914553.html
"Samsung Smart TV 43"" QLED 4K Q7F - Q4 AI Processor - Samsung Knox Security - QA43Q7FAAKXXD",Rp4.856.000,7%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8822886247.html
Samsung Galaxy A16 - 8/128Gb,Rp2.359.000,21%,10.6K,Kota Depok,https://www.lazada.co.id/products/pdp-i7454972987.html
Samsung Galaxy Fit3,Rp798.000,11%,2.1K,Kota Depok,https://www.lazada.co.id/products/pdp-i7989394790.html
Samsung Galaxy A07 - 4/128Gb,Rp1.606.000,3%,4.1K,Kota Depok,https://www.lazada.co.id/products/pdp-i5484840739.html
Samsung Galaxy A56 5g 8/256Gb - [Upgrade from 8/128 Gb] |   Galaxy Ai |   Ai Smartphone |   45W Super Fast Charge,Rp5.579.000,17%,1.6K,Kota Depok,https://www.lazada.co.id/products/pdp-i6291076779.html
Samsung Galaxy Watch FE,Rp3.099.000,6%,43,Kota Depok,https://www.lazada.co.id/products/pdp-i8148436162.html
Samsung Galaxy A26 5G ALL NRM - 8GB/128GB,Rp3.399.000,6%,616,Kota Depok,https://www.lazada.co.id/products/pdp-i6827366923.html
Samsung Galaxy A17 8/128Gb - Ai Smartphone |   Android |   5000 Mah,Rp2.759.000,8%,1.9K,Kota Depok,https://www.lazada.co.id/products/pdp-i8724864466.html
Samsung Galaxy A17 8/256Gb - Ai Smartphone |   Android |   5000 Mah,Rp3.143.100,8%,949,Kota Depok,https://www.lazada.co.id/products/pdp-i8724842946.html
"Samsung 43"" FHD FE60E TV | HDR | OTS Lite | One UI Tizen | UA43FE60EFKXXD",Rp2.956.000,36%,2.4K,Kota Depok,https://www.lazada.co.id/products/pdp-i8620338244.html
Samsung Galaxy A17 5g - 8/256Gb,Rp3.699.000,,1.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i8703954147.html
Samsung Galaxy A26 5G 8/256GB - Galaxy AI | Smartphone AI | Baterai 5000mAh,Rp3.799.000,5%,3.3K,Kota Depok,https://www.lazada.co.id/products/pdp-i8400150765.html
Samsung Galaxy A36 5g 8/256Gb - [Upgrade from 8/128 Gb] |   Galaxy Ai |   Ai Smartphone |   Snapdragon 6 Gen 3 |   45W Super Fast Charge,Rp4.689.000,18%,4.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i5716916825.html
Samsung Galaxy A07 - 8/256Gb,Rp2.299.000,,793,Kota Depok,https://www.lazada.co.id/products/pdp-i8735698789.html
"Samsung Smart TV 43 ""Crystal UHD 4K ue100f 4K | ua43ue100fkxxd",Rp3.237.000,42%,244,Kota Depok,https://www.lazada.co.id/products/pdp-i8780172361.html
"Samsung Galaxy A16 Kids Edition PAW Patrol 8/256GB - Parental Control | Termasuk Galaxy Smart Tag2, PAW Patrol Merchandise, Travel Adapter 25W, Clear Case",Rp3.399.000,,32,Kota Jakarta Selatan,https://www.lazada.co.id/products/pdp-i8400140778.html
"Samsung Galaxy A16 Kids Edition PAW Patrol 8/128GB - Parental Control | Termasuk Galaxy Smart Tag2, PAW Patrol Merchandise, Travel Adapter 25W, Clear Case",Rp2.999.000,,21,Kota Depok,https://www.lazada.co.id/products/pdp-i8400176602.html
Samsung Galaxy A36 5g 12/256Gb - [Upgrade from 8/256 Gb] |   Galaxy Ai |   Ai Smartphone |   Snapdragon 6 Gen 3 |   45W Super Fast Charge,Rp5.999.000,3%,1.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i6290864878.html
"Samsung 55 ""Crystal UHD 4K u8000f smart TV | Crystal Processor 4K | SmartThings | ua55u8000fkxxd",Rp5.897.000,22%,16,Kota Depok,https://www.lazada.co.id/products/pdp-i8620546605.html
Samsung Galaxy Tab A11 Wifi 4/64Gb - Gray |   Parental Control |   Ip52,Rp1.888.700,6%,161,Kota Depok,https://www.lazada.co.id/products/pdp-i8747576560.html
"Samsung Galaxy Buds3 Pro - Bluetooth Earbuds, Adaptive Noise Control, Hi-Fi Sound, Dual AMP",Rp2.899.000,12%,50,Kab. Sidoarjo,https://www.lazada.co.id/products/pdp-i8169454974.html
"Samsung T420 soundbar 2.1ch, Dolby Digital, powerful bass, smart sound, Bluetooth/optical In - HW-T420/XD",Rp1.398.000,42%,9.1K,Kota Depok,https://www.lazada.co.id/products/pdp-i2511064648.html
Samsung Galaxy Buds3 FE,Rp1.899.000,5%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8724928087.html
Samsung S24 Clear Gadget Case,Rp499.000,,92,Kota Depok,https://www.lazada.co.id/products/pdp-i7963984437.html
Samsung S23 Smart View Wallet Case,Rp599.000,,24,Kota Depok,https://www.lazada.co.id/products/pdp-i7240234043.html
Samsung Galaxy Tab A9+ 4/64Gb Wi-Fi,Rp3.499.000,,150,Kota Depok,https://www.lazada.co.id/products/pdp-i7810286383.html
"Samsung Smart TV 50 ""QLED 4K qef1 | Q4 AI processor | Samsung KNOX security | qa50qef1akxxd",Rp5.807.000,3%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8620148881.html
Samsung Flip6  Silicone Case,Rp599.000,13%,82,Kota Depok,https://www.lazada.co.id/products/pdp-i8181424522.html
"Samsung Galaxy Watch7 44mm - Smartwatch AI, Prosesor 3nm, Sleep Apnea Monitoring, Dual GPS",Rp4.999.000,,78,Kota Depok,https://www.lazada.co.id/products/pdp-i8169380589.html
Samsung Galaxy S25 Fe - 8Gb/256Gb,Rp9.999.000,9%,29,Kota Depok,https://www.lazada.co.id/products/pdp-i8724926713.html
Samsung Travel Adaptor [Random Color],Rp500.000,,139,Kota Depok,https://www.lazada.co.id/products/pdp-i6324764397.html
Samsung Galaxy Tab S10 Lite 6/128Gb - Android Tablet |   Tab Ai |   Long-Lasting Battery,Rp5.999.000,,,Kota Depok,https://www.lazada.co.id/products/pdp-i8724986227.html
Samsung Travel Adaptor 15W,Rp1.249.000,,226,Kota Depok,https://www.lazada.co.id/products/pdp-i677060160.html
Samsung Flip 5 Flap ECO - Leather Case,Rp799.000,20%,31,Kota Depok,https://www.lazada.co.id/products/pdp-i7670040297.html
"Samsung Galaxy Buds3 - Bluetooth Earbuds, Adaptive Noise Control, Hi-Fi Sound, 360 Audio",Rp1.950.000,15%,29,Kota Depok,https://www.lazada.co.id/products/pdp-i8169488342.html
Samsung Galaxy Tab S10 FE [8GB/128GB] -AI tablet | Galaxy AI | large display,Rp7.599.000,16%,21,Kota Depok,https://www.lazada.co.id/products/pdp-i8603604185.html
Samsung Galaxy A26 5G ALL NRM - 8GB/128GB,"Rp3,399,000",6%,616,Kota Depok,https://www.lazada.co.id/products/pdp-i6827366923.html
Samsung Galaxy A07 - 4/64Gb,"Rp1,319,000",12%,27.3K,Kota Depok,https://www.lazada.co.id/products/pdp-i6999600579.html
Samsung Galaxy A16 - 8/128Gb,"Rp2,359,000",21%,10.6K,Kota Depok,https://www.lazada.co.id/products/pdp-i7454972987.html
Samsung Galaxy A17 8/128Gb - Ai Smartphone |   Android |   5000 Mah,"Rp2,759,000",8%,1.9K,Kota Depok,https://www.lazada.co.id/products/pdp-i8724864466.html
Samsung 32 HD he50e TV | HDR | OTS Lite | one UI Tizen | slim design | ua32he50efklxd,"Rp2,038,000",36%,6.7K,Kota Depok,https://www.lazada.co.id/products/pdp-i8606914553.html
"Samsung Smart TV 43 ""Crystal UHD 4K ue100f 4K | ua43ue100fkxxd","Rp3,237,000",42%,244,Kota Depok,https://www.lazada.co.id/products/pdp-i8780172361.html
"Samsung 43"" FHD FE60E TV | HDR | OTS Lite | One UI Tizen | UA43FE60EFKXXD","Rp2,956,000",36%,2.4K,Kota Depok,https://www.lazada.co.id/products/pdp-i8620338244.html
Samsung Galaxy A07 4/64 - Power Pack,"Rp1,399,000",,1.6K,Kota Depok,https://www.lazada.co.id/products/pdp-i8779674474.html
Samsung Galaxy A07 - 8/256Gb,"Rp2,299,000",,793,Kota Depok,https://www.lazada.co.id/products/pdp-i8735698789.html
Samsung Galaxy A17 5g - 8/256Gb,"Rp3,699,000",,1.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i8703954147.html
Samsung Galaxy A26 5G 8/256GB - Galaxy AI | Smartphone AI | Baterai 5000mAh,"Rp3,799,000",5%,3.3K,Kota Depok,https://www.lazada.co.id/products/pdp-i8400150765.html
Samsung Galaxy A36 5g 8/256Gb - [Upgrade from 8/128 Gb] |   Galaxy Ai |   Ai Smartphone |   Snapdragon 6 Gen 3 |   45W Super Fast Charge,"Rp4,689,000",18%,4.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i5716916825.html
Samsung Galaxy A56 5g 12/256Gb - [Upgrade from 8/256 Gb] |   Galaxy Ai |   Ai Smartphone |   45W Super Fast Charge,"Rp6,999,000",3%,1.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i6381964562.html
Samsung Galaxy A56 5g 8/256Gb - [Upgrade from 8/128 Gb] |   Galaxy Ai |   Ai Smartphone |   45W Super Fast Charge,"Rp5,579,000",17%,1.6K,Kota Depok,https://www.lazada.co.id/products/pdp-i6291076779.html
"Samsung Galaxy A16 Kids Edition PAW Patrol 8/128GB - Parental Control | Termasuk Galaxy Smart Tag2, PAW Patrol Merchandise, Travel Adapter 25W, Clear Case","Rp2,999,000",,21,Kota Depok,https://www.lazada.co.id/products/pdp-i8400176602.html
"Samsung Galaxy A16 Kids Edition PAW Patrol 8/256GB - Parental Control | Termasuk Galaxy Smart Tag2, PAW Patrol Merchandise, Travel Adapter 25W, Clear Case","Rp3,399,000",,32,Kota Jakarta Selatan,https://www.lazada.co.id/products/pdp-i8400140778.html
Samsung Galaxy A17 8/256Gb - Ai Smartphone |   Android |   5000 Mah,"Rp3,143,100",8%,949,Kota Depok,https://www.lazada.co.id/products/pdp-i8724842946.html
Samsung Galaxy Tab A11 Wifi 4/64Gb - Gray |   Parental Control |   Ip52,"Rp1,888,700",6%,161,Kota Depok,https://www.lazada.co.id/products/pdp-i8747576560.html
"Samsung Smart TV 43"" QLED 4K Q7F - Q4 AI Processor - Samsung Knox Security - QA43Q7FAAKXXD","Rp4,856,000",7%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8822886247.html
Samsung Galaxy A07 - 4/128Gb,"Rp1,606,000",3%,4.1K,Kota Depok,https://www.lazada.co.id/products/pdp-i5484840739.html
Samsung Galaxy Fit3,"Rp798,000",11%,2.1K,Kota Depok,https://www.lazada.co.id/products/pdp-i7989394790.html
"Samsung T420 soundbar 2.1ch, Dolby Digital, powerful bass, smart sound, Bluetooth/optical In - HW-T420/XD","Rp1,398,000",42%,9.1K,Kota Depok,https://www.lazada.co.id/products/pdp-i2511064648.html
"Samsung Galaxy Buds3 Pro - Bluetooth Earbuds, Adaptive Noise Control, Hi-Fi Sound, Dual AMP","Rp2,899,000",12%,50,Kab. Sidoarjo,https://www.lazada.co.id/products/pdp-i8169454974.html
Samsung S23 Smart View Wallet Case,"Rp599,000",,24,Kota Depok,https://www.lazada.co.id/products/pdp-i7240234043.html
"Samsung 55 ""Crystal UHD 4K u8000f smart TV | Crystal Processor 4K | SmartThings | ua55u8000fkxxd","Rp5,897,000",22%,16,Kota Depok,https://www.lazada.co.id/products/pdp-i8620546605.html
Samsung Galaxy Buds3 FE,"Rp1,899,000",5%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8724928087.html
Samsung S24 Clear Gadget Case,"Rp499,000",,92,Kota Depok,https://www.lazada.co.id/products/pdp-i7963984437.html
Samsung Galaxy Tab A9+ 4/64Gb Wi-Fi,"Rp3,499,000",,150,Kota Depok,https://www.lazada.co.id/products/pdp-i7810286383.html
Samsung Flip6  Silicone Case,"Rp599,000",13%,82,Kota Depok,https://www.lazada.co.id/products/pdp-i8181424522.html
Samsung Travel Adaptor [Random Color],"Rp500,000",,139,Kota Depok,https://www.lazada.co.id/products/pdp-i6324764397.html
Samsung Galaxy A36 5g 12/256Gb - [Upgrade from 8/256 Gb] |   Galaxy Ai |   Ai Smartphone |   Snapdragon 6 Gen 3 |   45W Super Fast Charge,"Rp5,999,000",3%,1.2K,Kota Depok,https://www.lazada.co.id/products/pdp-i6290864878.html
Samsung Travel Adaptor 15W,"Rp1,249,000",,226,Kota Depok,https://www.lazada.co.id/products/pdp-i677060160.html
"Samsung Galaxy Watch7 44mm - Smartwatch AI, Prosesor 3nm, Sleep Apnea Monitoring, Dual GPS","Rp4,999,000",,78,Kota Depok,https://www.lazada.co.id/products/pdp-i8169380589.html
"Samsung Smart TV 50 ""QLED 4K qef1 | Q4 AI processor | Samsung KNOX security | qa50qef1akxxd","Rp5,807,000",3%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8620148881.html
Samsung Galaxy Watch FE,"Rp3,099,000",6%,43,Kota Depok,https://www.lazada.co.id/products/pdp-i8148436162.html
Samsung Flip 5 Flap ECO - Leather Case,"Rp799,000",20%,31,Kota Depok,https://www.lazada.co.id/products/pdp-i7670040297.html
"Samsung Galaxy Buds3 - Bluetooth Earbuds, Adaptive Noise Control, Hi-Fi Sound, 360 Audio","Rp1,950,000",15%,29,Kota Depok,https://www.lazada.co.id/products/pdp-i8169488342.html
Samsung Galaxy S25 Fe - 8Gb/256Gb,"Rp9,999,000",9%,29,Kota Depok,https://www.lazada.co.id/products/pdp-i8724926713.html
Samsung Galaxy Tab S10 Lite 6/128Gb - Android Tablet |   Tab Ai |   Long-Lasting Battery,"Rp5,999,000",,,Kota Depok,https://www.lazada.co.id/products/pdp-i8724986227.html
Samsung Galaxy Tab S10 FE [8GB/128GB] -AI tablet | Galaxy AI | large display,"Rp7,599,000",16%,21,Kota Depok,https://www.lazada.co.id/products/pdp-i8603604185.html
Samung Galaxy Tab S10 Lite Wifi 6/128Gb - Android Tablet |   Tab Ai |   Long-Lasting Battery,Rp4.799.000,4%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8724934956.html
Samsung Galaxy Watch8 40mm - Bluetooth |   Smart Watch with Ai |   3Nm Processor |   Sleep Coaching,Rp5.299.000,4%,9,Kota Depok,https://www.lazada.co.id/products/pdp-i8661474748.html
[TIDAK DI JUAL] Samsung Galaxy Buds3 - White,Rp2.599.000,,10,Kota Depok,https://www.lazada.co.id/products/pdp-i1960506646.html
Samsung Galaxy Watch8 44mm - Bluetooth |   Smart Watch with Ai |   3Nm Processor |   Sleep Coaching,Rp4.999.000,17%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8661558368.html
Samsung Galaxy Watch6 Classic 47mm Bluetooth,Rp5.499.000,8%,51,Kota Depok,https://www.lazada.co.id/products/pdp-i7645802870.html
Samsung Galaxy Watch8 Classic 46mm - Bluetooth Smart Watch Ai |   Rotating Bezel |   3Nm Processor,Rp6.299.000,10%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8661510882.html
"Samsung Galaxy Watch Ultra - Smartwatch AI, Prosesor 3nm, Ultra Durability, Dual GPS System",Rp7.999.000,11%,52,Kota Depok,https://www.lazada.co.id/products/pdp-i8370272421.html
"Samsung Smart TV 55 ""Crystal UHD 4K ue100f 4K | ua55ue100fkxxd",Rp5.907.000,31%,,Kota Depok,https://www.lazada.co.id/products/pdp-i8780166992.html
Samsung Galaxy Tab S9 FE+ 12GB_256GB,Rp10.999.000,,74,Kota Depok,https://www.lazada.co.id/products/pdp-i7734324975.html
Samsung Galaxy Tab S10 Fe + WiFi [12GB/256GB],Rp11.059.000,,,Kota Depok,https://www.lazada.co.id/products/pdp-i8603598411.html
Samsung Galaxy Z Flip7 12/256Gb - Ai Smartphone |   Foldable Cellphone |   50Mp Camera |   4300Mah,Rp17.999.000,,,Kota Depok,https://www.lazada.co.id/products/pdp-i8655268369.html
Samsung Galaxy Z Fold7 12/512Gb - Ai Smartphone |   Thin Folding Cellphone |   200Mp Camera |   4400Mah,Rp31.499.000,,20,Kota Depok,https://www.lazada.co.id/products/pdp-i8655242998.html
Samsung Galaxy Tab S8 Ultra 12GB/256GB,Rp99.999.000,,68,Kota Depok,https://www.lazada.co.id/products/pdp-i6151784929.html
Samsung Galaxy Tab S11 Ultra 5g 12/256Gb - Gray |   Ai Tablet |   Android Tab |   Long-Lasting Battery |   Large Screen |   Samsung Dex,Rp22.999.000,,,Kota Depok,https://www.lazada.co.id/products/pdp-i8735626859.html
Samsung Galaxy Z Fold7 12/256Gb - Ai Smartphone |   Thin Folding Cellphone |   200Mp Camera,Rp28.499.000,,,Kota Depok,https://www.lazada.co.id/products/pdp-i8655254412.html
Samsung Galaxy Tab S11 Wifi 12/256Gb - Gray |   Ai Tablet |   Android Tab |   Long-Lasting Battery |   Samsung Dex,Rp14.999.000,,,Kota Depok,https://www.lazada.co.id/products/pdp-i8735684950.html
Samsung A33 5g,"Rp780,000",,42,Kota Palembang,https://www.lazada.co.id/products/pdp-i7653034764.html
Samsung Tab 2 7inci BERGARANSIiiiiiii,"Rp255,000",7%,336,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i7114400424.html
Samsung Galaxy A07 4/64GB 4/128GB 6/128GB & 8/256GB-1 year official warranty,"Rp1,330,000",,819,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i8710102296.html
samsung a32,"Rp650,000",,,Kota Tangerang Selatan,https://www.lazada.co.id/products/pdp-i7387472246.html
Samsung Fm3 Cellphone (Keystone3) Second Hand Original Samsung Cellphone,"Rp95,000",,,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8815672872.html
DI JUAL MURAH DAN CEPAT HP SAMSUNG GALAXY V/V+ BEKAS PAKAI NO MINUS NORMAL BERKUALITAS,"Rp48,750",3%,160,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8283098574.html
Tablet Android Samsung 3v/3 Murah Cocok buat wa fb YouTube dan game anak bergaransi terjamin termurah,"Rp399,000",27%,31,Kab. Probolinggo,https://www.lazada.co.id/products/pdp-i7914574818.html
Hp Samsung A14 5g Ram 6/128Gb Fullset 12 Month Guarantee Cod Available,"Rp1,299,000",40%,,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i8818364326.html
Samsung Galaxy A06 5g 6/128Gb - Black,"Rp850,000",,,Kab. Bandung,https://www.lazada.co.id/products/pdp-i8702784042.html
Cheap Samsung A14 Ram 6/128,"Rp800,000",,,Kab. Bekasi,https://www.lazada.co.id/products/pdp-i8802888303.html
Samsung Galaxy A06 6/128GB new Promo,"Rp1,299,000",,,Kab. Majalengka,https://www.lazada.co.id/products/pdp-i8642392567.html
